Latitude;Longitude
51.96773;5.320135
51.96727;5.321792
51.96684;5.323226
51.96548;5.327631
51.96388;5.332523
51.96118;5.33982
51.95756;5.347988
51.95439;5.355252
51.95019;5.366562
51.94718;5.375422
51.94328;5.384217
51.93971;5.392018
51.93495;5.402164
51.93054;5.411505
51.92638;5.420072
51.9224;5.428357
51.91796;5.43764
51.91373;5.44549
51.91047;5.44888
51.90657;5.451523
51.90248;5.454117
51.89903;5.45624
51.89511;5.458354
51.89173;5.459917
51.88951;5.464992
51.88996;5.475234
51.8894;5.48591
51.88905;5.497877
51.88981;5.507942
51.89123;5.51856
51.89411;5.529377
51.89769;5.539495
51.90009;5.548977
51.90176;5.560362
51.9019;5.574262
51.90083;5.583862
51.89954;5.594553
51.89927;5.60417
51.89959;5.614913
51.89981;5.624928
51.89948;5.635098
51.89823;5.646032
51.89666;5.655598
51.89555;5.667092
51.89571;5.677108
51.89587;5.68769
51.89523;5.698087
51.89345;5.707235
51.89009;5.716887
51.88711;5.72668
51.88565;5.737952
51.88441;5.74781
51.88222;5.757184
51.88022;5.765429
51.87868;5.774257
51.87767;5.784103
51.87654;5.794687
51.87495;5.803922
51.87175;5.813535
51.86738;5.823582
51.86232;5.832868
51.85828;5.840478
51.85461;5.84858
51.85213;5.85666
51.85114;5.864993
51.85267;5.8746
51.85758;5.88036
51.86314;5.88468
51.86768;5.890445
51.87159;5.899621
51.87356;5.909783
51.87433;5.919374
51.87364;5.92969
51.87119;5.937877
51.86679;5.943742
51.86196;5.948438
51.85759;5.95431
51.8551;5.960802
51.85459;5.969222
51.85696;5.977344
51.86183;5.982565
51.86738;5.985717
51.8728;5.989588
51.87803;5.99595
51.88136;6.004287
51.88153;6.014742
51.8784;6.023465
51.87418;6.032318
51.8717;6.04163
51.86997;6.050235
51.86745;6.059542
51.86358;6.069237
51.85907;6.076869
51.85397;6.085912
51.84973;6.097
51.84829;6.106847
51.84829;6.116308
51.84824;6.128307
51.84639;6.144312
51.84293;6.1609
51.83995;6.169852
51.83707;6.177156
51.82247;6.263383
51.81874;6.270822
51.78109;6.32342
51.77441;6.32566
